fold,epoch,train_loss,train_acc,val_loss,val_acc,val_macro_f1
4,31,1.083138,0.7871,1.263386,0.6055,0.3398
4,32,1.073650,0.8029,1.272679,0.5780,0.3169
4,33,1.046285,0.8118,1.263064,0.5963,0.3282
4,34,1.044748,0.8075,1.284303,0.5917,0.3183
4,35,1.017543,0.8243,1.289562,0.5917,0.3127
4,36,1.037078,0.8146,1.341523,0.5459,0.3031
4,37,1.002491,0.8093,1.240796,0.6009,0.3069
4,38,0.982357,0.8368,1.327723,0.5734,0.3146
4,39,1.010297,0.8189,1.329499,0.5872,0.3234
4,40,0.967092,0.8421,1.322432,0.5872,0.3258
4,41,0.957554,0.8371,1.301934,0.5780,0.3150
5,1,4.820615,0.2432,1.503643,0.3624,0.2145
5,2,2.693778,0.3279,1.374059,0.4817,0.2642
5,3,2.280665,0.3911,1.269020,0.6009,0.3396
5,4,2.158295,0.4014,1.265700,0.5963,0.3545
5,5,2.028477,0.4357,1.174078,0.6376,0.3784
5,6,1.958364,0.4743,1.139485,0.6560,0.3902
5,7,1.922194,0.5011,1.143951,0.6376,0.3600
5,8,1.843227,0.5232,1.152185,0.6514,0.4378
5,9,1.799515,0.5229,1.122140,0.6422,0.3912
5,10,1.725263,0.5561,1.133783,0.6055,0.3696
5,11,1.665664,0.5868,1.099832,0.6514,0.4041
5,12,1.667613,0.5879,1.112287,0.6147,0.3712
5,13,1.578725,0.6207,1.086510,0.6101,0.3534
5,14,1.577348,0.6296,1.076242,0.6468,0.3941
5,15,1.507992,0.6454,1.095068,0.6147,0.3776
5,16,1.511270,0.6546,1.090250,0.6193,0.3711
5,17,1.455612,0.6686,1.090284,0.6055,0.3751
5,18,1.415111,0.6754,1.080187,0.6193,0.3369
5,19,1.399352,0.6886,1.104408,0.6239,0.3557
5,20,1.371339,0.7029,1.116264,0.6009,0.3427
5,21,1.339618,0.7093,1.116387,0.6147,0.3616
5,22,1.280969,0.7304,1.135997,0.5780,0.3325
5,23,1.284559,0.7325,1.120576,0.5963,0.3748
5,24,1.260993,0.7436,1.119348,0.5963,0.3435
5,25,1.232170,0.7486,1.122313,0.6193,0.3339
5,26,1.199186,0.7564,1.139415,0.6009,0.3455
5,27,1.192284,0.7593,1.129432,0.6193,0.3730
5,28,1.179041,0.7646,1.141150,0.6055,0.3685
5,29,1.164040,0.7789,1.155854,0.6055,0.3823
5,30,1.149303,0.7757,1.146884,0.6009,0.3606
5,31,1.131518,0.7836,1.181895,0.6147,0.3910
5,32,1.099238,0.7907,1.170017,0.5734,0.3766
5,33,1.087528,0.7939,1.196770,0.5826,0.3607
5,34,1.091571,0.8046,1.179268,0.5963,0.3790
5,35,1.070948,0.8150,1.187891,0.5780,0.3473
5,36,1.057911,0.8068,1.209668,0.6055,0.3710
5,37,1.031805,0.8186,1.222841,0.6284,0.3591
5,38,1.047005,0.8054,1.235642,0.5780,0.3303
