fold,vowel,network,feature_idx,mu,lambda,gc,gct,selected
0,1,master,51,0.044944,0.947696,-0.902752,-0.007361,1
0,1,master,52,0.044931,0.961627,-0.916696,0.006558,1
0,1,master,53,0.035795,0.962998,-0.927203,-0.001208,1
0,1,master,54,0.049672,0.942871,-0.893199,-0.007457,1
0,1,master,55,0.035737,0.959199,-0.923462,-0.005065,1
0,1,master,56,0.032462,0.947187,-0.914725,-0.020351,1
0,1,master,57,0.033722,0.945107,-0.911386,-0.021171,1
0,1,master,58,0.046693,0.979354,-0.932661,0.026047,1
0,1,master,59,0.000486,0.964463,-0.963978,-0.035051,1
0,1,master,60,0.009997,0.929401,-0.919404,-0.060602,1
0,1,master,61,0.002862,0.993442,-0.990580,-0.003696,1
0,1,master,62,0.000000,0.000000,0.000000,-1.000000,1
0,1,master,63,0.002679,0.978974,-0.976294,-0.018347,1
0,1,master,64,0.000505,0.986415,-0.985910,-0.013079,1
0,1,master,65,0.002713,0.955086,-0.952373,-0.042201,1
0,1,master,66,0.001298,0.855032,-0.853734,-0.143670,1
0,1,master,67,0.000123,0.986337,-0.986214,-0.013540,1
0,1,master,68,0.000023,0.948578,-0.948555,-0.051399,1
0,1,master,69,0.000700,0.985715,-0.985015,-0.013585,1
0,1,master,70,0.000052,0.983517,-0.983465,-0.016431,1
0,1,master,71,0.002050,0.762436,-0.760386,-0.235514,1
0,1,master,72,0.000004,0.948468,-0.948465,-0.051528,1
0,1,master,73,0.005320,0.839717,-0.834396,-0.154963,1
0,1,master,74,0.000420,0.923013,-0.922592,-0.076567,1
0,1,master,75,0.000577,0.885087,-0.884510,-0.114336,1
0,1,master,76,0.000423,0.941835,-0.941412,-0.057742,1
0,1,master,77,0.002050,0.762436,-0.760386,-0.235514,1
0,1,master,78,0.000003,0.948379,-0.948375,-0.051618,1
0,1,master,79,0.005320,0.839716,-0.834396,-0.154963,1
0,1,master,80,0.000422,0.922951,-0.922529,-0.076627,1
0,1,master,81,0.000577,0.885088,-0.884511,-0.114334,1
0,1,master,82,0.000423,0.941835,-0.941412,-0.057742,1
0,1,master,83,0.034162,0.617654,-0.583492,-0.348184,1
0,1,master,84,0.000161,0.989154,-0.988993,-0.010684,1
0,1,expert,0,0.032164,0.881065,-0.848901,-0.086771,1
0,1,expert,1,0.031703,0.879701,-0.847998,-0.088595,1
0,1,expert,2,0.028368,0.881741,-0.853373,-0.089890,1
0,1,expert,3,0.054559,0.845223,-0.790664,-0.100218,1
0,1,expert,4,0.053613,0.839737,-0.786124,-0.106650,1
0,1,expert,5,0.064823,0.795631,-0.730808,-0.139546,1
0,1,expert,6,0.048192,0.847293,-0.799100,-0.104515,1
0,1,expert,7,0.012287,0.922537,-0.910251,-0.065176,1
0,1,expert,8,0.098103,0.932600,-0.834497,0.030702,1
0,1,expert,9,0.071244,0.737574,-0.666329,-0.191182,1
0,1,expert,10,0.051873,0.941523,-0.889650,-0.006604,1
0,1,expert,11,0.020596,0.816638,-0.796042,-0.162766,1
0,1,expert,12,0.039312,0.743927,-0.704615,-0.216760,1
0,1,expert,13,0.009495,0.925747,-0.916252,-0.064757,1
0,1,expert,14,0.026229,0.961555,-0.935326,-0.012216,1
0,1,expert,15,0.013803,0.962479,-0.948676,-0.023718,1
0,1,expert,16,0.136664,0.925061,-0.788396,0.061725,1
0,1,expert,17,0.079858,0.907858,-0.828000,-0.012284,1
0,1,expert,18,0.051128,0.957678,-0.906549,0.008806,1
0,1,expert,19,0.068261,0.960900,-0.892638,0.029161,1
0,1,expert,20,0.063655,0.934203,-0.870549,-0.002142,1
0,1,expert,21,0.025927,0.975461,-0.949534,0.001388,1
0,1,expert,22,0.018473,0.967613,-0.949140,-0.013914,1
0,1,expert,23,0.008035,0.934357,-0.926322,-0.057607,1
0,1,expert,24,0.103482,0.887445,-0.783963,-0.009073,1
0,1,expert,25,0.040455,0.950967,-0.910512,-0.008578,1
0,1,expert,26,0.034423,0.935779,-0.901356,-0.029798,1
0,1,expert,27,0.027736,0.961804,-0.934068,-0.010460,1
0,1,expert,28,0.043132,0.940393,-0.897261,-0.016476,1
0,1,expert,29,0.114160,0.924502,-0.810342,0.038662,1
0,1,expert,30,0.071482,0.936861,-0.865379,0.008344,1
0,1,expert,31,0.025121,0.969121,-0.944000,-0.005757,1
0,1,expert,32,0.003317,0.883585,-0.880268,-0.113097,1
0,1,expert,33,0.017732,0.855860,-0.838128,-0.126409,1
0,1,expert,34,0.017676,0.881179,-0.863503,-0.101145,1
0,1,expert,35,0.019870,0.974009,-0.954139,-0.006121,1
0,1,expert,36,0.026770,0.922380,-0.895610,-0.050850,1
0,1,expert,37,0.017901,0.943471,-0.925570,-0.038629,1
0,1,expert,38,0.024513,0.941451,-0.916937,-0.034036,1
0,1,expert,39,0.022199,0.910719,-0.888520,-0.067081,1
0,1,expert,40,0.030467,0.946190,-0.915723,-0.023342,1
0,1,expert,41,0.027824,0.970407,-0.942584,-0.001769,1
0,1,expert,42,0.041321,0.951014,-0.909693,-0.007665,1
0,1,expert,43,0.023835,0.987757,-0.963921,0.011592,1
0,1,expert,44,0.038706,0.954138,-0.915432,-0.007155,1
0,1,expert,45,0.011296,0.873943,-0.862647,-0.114762,1
0,1,expert,46,0.025725,0.871625,-0.845900,-0.102650,1
0,1,expert,47,0.022127,0.880727,-0.858600,-0.097146,1
0,1,expert,48,0.033856,0.940478,-0.906622,-0.025666,1
0,1,expert,49,0.034567,0.914485,-0.879918,-0.050948,1
0,1,expert,50,0.033700,0.943036,-0.909336,-0.023264,1
0,1,expert,51,0.045252,0.935272,-0.890020,-0.019477,1
0,1,expert,52,0.042877,0.922875,-0.879998,-0.034248,1
0,1,expert,53,0.039482,0.938683,-0.899201,-0.021836,1
0,1,expert,54,0.032432,0.968840,-0.936407,0.001272,1
0,1,expert,55,0.056652,0.961735,-0.905084,0.018387,1
0,1,expert,56,0.024815,0.982483,-0.957668,0.007298,1
0,1,expert,57,0.049105,0.956244,-0.907139,0.005350,1
0,1,expert,58,0.090215,0.920783,-0.830569,0.010998,1
0,1,expert,59,0.050919,0.952128,-0.901209,0.003047,1
0,1,expert,60,0.004931,0.874559,-0.869628,-0.120510,1
0,1,expert,61,0.010577,0.970513,-0.959936,-0.018910,1
0,1,expert,62,0.000000,0.000000,0.000000,-1.000000,1
0,1,expert,63,0.024296,0.885076,-0.860780,-0.090628,1
0,1,expert,64,0.052115,0.957373,-0.905258,0.009488,1
0,1,expert,65,0.002719,0.943177,-0.940458,-0.054105,1
0,1,expert,66,0.016410,0.621150,-0.604740,-0.362440,1
0,1,expert,67,0.018991,0.937369,-0.918378,-0.043640,1
0,1,expert,68,0.008555,0.937082,-0.928528,-0.054363,1
0,1,expert,69,0.010397,0.857869,-0.847472,-0.131734,1
0,1,expert,70,0.009342,0.966064,-0.956722,-0.024594,1
0,1,expert,71,0.033080,0.549373,-0.516293,-0.417547,1
0,1,expert,72,0.051823,0.694623,-0.642799,-0.253554,1
0,1,expert,73,0.031743,0.843824,-0.812081,-0.124433,1
0,1,expert,74,0.019708,0.869343,-0.849635,-0.110949,1
0,1,expert,75,0.005019,0.691578,-0.686559,-0.303403,1
0,1,expert,76,0.009980,0.774068,-0.764088,-0.215952,1
0,1,expert,77,0.033080,0.549373,-0.516293,-0.417547,1
0,1,expert,78,0.051805,0.694448,-0.642643,-0.253746,1
0,1,expert,79,0.031744,0.843820,-0.812075,-0.124436,1
0,1,expert,80,0.019713,0.869281,-0.849569,-0.111006,1
0,1,expert,81,0.005019,0.691581,-0.686562,-0.303401,1
0,1,expert,82,0.009980,0.774071,-0.764091,-0.215949,1
0,1,expert,83,0.029604,0.818116,-0.788512,-0.152280,1
0,1,expert,84,0.127177,0.893190,-0.766012,0.020367,1
0,2,master,0,0.052158,0.797188,-0.745030,-0.150654,1
0,2,master,1,0.050573,0.802496,-0.751923,-0.146931,1
0,2,master,2,0.051826,0.777921,-0.726095,-0.170253,1
0,2,master,3,0.051956,0.734146,-0.682191,-0.213898,1
0,2,master,4,0.051954,0.721827,-0.669873,-0.226220,1
0,2,master,5,0.047125,0.749668,-0.702543,-0.203207,1
0,2,master,6,0.039328,0.761382,-0.722053,-0.199290,1
0,2,master,7,0.003200,0.971632,-0.968432,-0.025167,1
0,2,master,8,0.105522,0.888694,-0.783172,-0.005784,1
0,2,master,9,0.001365,0.968265,-0.966901,-0.030370,1
0,2,master,10,0.015642,0.963529,-0.947888,-0.020829,1
0,2,master,11,0.030280,0.860045,-0.829765,-0.109675,1
0,2,master,12,0.000134,0.963536,-0.963402,-0.036330,1
0,2,master,13,0.000058,0.987925,-0.987868,-0.012017,1
0,2,master,14,0.000287,0.977314,-0.977028,-0.022399,1
0,2,master,15,0.000628,0.946089,-0.945461,-0.053284,1
0,2,master,16,0.053565,0.899478,-0.845914,-0.046957,1
0,2,master,17,0.007820,0.853633,-0.845814,-0.138547,1
0,2,master,18,0.004112,0.943235,-0.939123,-0.052653,1
0,2,master,19,0.005171,0.976090,-0.970919,-0.018740,1
0,2,master,20,0.005260,0.977641,-0.972381,-0.017100,1
0,2,master,21,0.014931,0.977794,-0.962864,-0.007275,1
0,2,master,22,0.009831,0.970644,-0.960814,-0.019525,1
0,2,master,23,0.012769,0.968209,-0.955439,-0.019022,1
0,2,master,24,0.000227,0.993567,-0.993340,-0.006207,1
0,2,master,25,0.019461,0.981482,-0.962021,0.000943,1
0,2,master,26,0.023403,0.990106,-0.966703,0.013510,1
0,2,master,27,0.001256,0.994493,-0.993237,-0.004251,1
0,2,master,28,0.017779,0.962053,-0.944275,-0.020168,1
0,2,master,29,0.004052,0.992741,-0.988690,-0.003207,1
0,2,master,30,0.001775,0.995753,-0.993977,-0.002472,1
0,2,master,31,0.006096,0.974405,-0.968310,-0.019499,1
0,2,master,32,0.024800,0.913368,-0.888569,-0.061832,1
0,2,master,33,0.026114,0.876065,-0.849950,-0.097821,1
0,2,master,34,0.042912,0.942359,-0.899447,-0.014729,1
0,2,master,35,0.025826,0.924244,-0.898417,-0.049930,1
0,2,master,36,0.028559,0.918667,-0.890109,-0.052774,1
0,2,master,37,0.030094,0.926533,-0.896439,-0.043372,1
0,2,master,38,0.025697,0.940503,-0.914806,-0.033801,1
0,2,master,39,0.020699,0.939137,-0.918438,-0.040165,1
